source,name,rating,price,location
Expedia,Sofitel Cairo Nile El Gezirah,4.3/5,$393 for 4 nights,Gezira
Expedia,"Fairmont Nile City, Cairo",4.2/5,$444 for 4 nights,Downtown Cairo
Expedia,Tolip Golden Plaza,4.1/5,$368 for 4 nights,Nasr City
Expedia,You could be seeing lower prices,NoneNone,,
Expedia,Concorde El Salam Hotel,4.3/5,$361 for 4 nights,Cairo
Expedia,Le Passage Cairo Hotel & Casino,3.7/5,$276 for 4 nights,Cairo
Expedia,Al Masa Hotel,3.6/5,$375 for 4 nights,Nasr City
Expedia,Cleopatra Hotel,3.8/5,$193 for 4 nights,Ismailia
Expedia,Hilton Cairo Heliopolis,4.2/5,$536 for 4 nights,Cairo
Expedia,Magic Pyramids View Accommodation,NoneNone,$600 for 4 nights,Entire apartment
Expedia,Steigenberger Hotel El Tahrir,4.4/5,$258 for 4 nights,Ismailia
Expedia,Safir Hotel Cairo,4.3/5,$226 for 4 nights,Al Duqqi
Expedia,,NoneNone,,
Expedia,Four Seasons Hotel Cairo at Nile Plaza,4.4/5,"$1,133 for 4 nights",Garden City
Expedia,Golden Tulip Flamenco,3.7/5,$223 for 4 nights,Zamalek
Expedia,The Square Boutique Hotel,4.0/5,$157 for 4 nights,Cairo
Expedia,Swiss Inn Pyramids Golf Resort,3.5/5,$332 for 4 nights,6th of October City
Expedia,Pyramids View inn Bed & Breakfast,4.5/5,$127 for 4 nights,Giza
Expedia,Royal Maxim Palace Kempinski Cairo,4.2/5,$747 for 4 nights,New Cairo
Expedia,Kempinski Nile Hotel Cairo,4.3/5,$462 for 4 nights,Garden City
Expedia,Hayat Pyramids View Hotel,4.0/5,$175 for 4 nights,Al Haram
Expedia,Best View Pyramids Hotel,4.2/5,$107 for 4 nights,Giza
Booking,Sofitel Cairo Nile El Gezirah,8.0,"US$330 - 4 nights, 1 adult","3 El Thawra Council St Zamalek, 11518 Cairo, Egypt"
Booking,"Kempinski Nile Hotel, Cairo",8.5,"US$340 - 4 nights, 1 adult","Cornich El Nile, 12 Ahmed Ragheb Street, Garden City, Garden City, Cairo, Egypt"
Booking,Dusit Thani LakeView Cairo,7.9,"US$610 - 4 nights, 1 adult","El Tesseen Street, Fifth Settlement, New Cairo City, Cairo, Egypt"
Booking,Fairmont Nile City,8.4,"US$344 - 4 nights, 1 adult","Corniche El Nile, Ramlet Beaulac, Cairo, Egypt"
Booking,Cairo Marriott Hotel & Omar Khayyam Casino,7.9,"US$284 - 4 nights, 1 adult","16 Saraya El Gezira, Zamalek, 11211 Cairo, Egypt"
Booking,"Marriott Mena House, Cairo",8.7,"US$512 - 4 nights, 1 adult","Pyramids' Road, Giza, Cairo, Egypt"
Booking,JW Marriott Hotel Cairo,8.3,"US$636 - 4 nights, 1 adult","Ring Road- Mirage City, New Cairo City, 11757 Cairo, Egypt"
Booking,The St. Regis Cairo,9.7,"US$880 - 4 nights, 1 adult","Corniche El Nile, 99999 Cairo, Egypt"
Booking,Ramses Hilton Hotel & Casino,7.2,"US$230 - 4 nights, 1 adult","1115 Corniche El Nile, Cairo, Egypt"
Booking,"The Nile Ritz-Carlton, Cairo",8.6,"US$613 - 4 nights, 1 adult","1113 Corniche El Nil, 12344 Cairo, Egypt"
Booking,"The Westin Cairo Golf Resort & Spa , Katameya Dunes",8.6,"US$560 - 4 nights, 1 adult","Road 90,New Cairo City,Katameya Dunes, New Cairo City, 11835 Cairo, Egypt"
Booking,Four Seasons Hotel Cairo at Nile Plaza,8.7,"US$900 - 4 nights, 1 adult","1089 Corniche El Nil - Garden City, Garden City, 11519 Cairo, Egypt"
Booking,Steigenberger Hotel El Tahrir Cairo,8.7,"US$195 - 4 nights, 1 adult","Kasr El Nile, Cairo, Egypt"
Booking,Le Meridien Cairo Airport,8.6,"US$358 - 4 nights, 1 adult","Cairo international Airport terminal 3, Heliopolis, 11341 Cairo, Egypt"
Booking,Tolip Golden Plaza,8.0,"US$268 - 4 nights, 1 adult","Omar Ibn El Khattab, Nasr City, 99999 Cairo, Egypt"
Booking,Renaissance Cairo Mirage City Hotel,8.1,"US$496 - 4 nights, 1 adult","Ring Road, Mirage City, P.O. Box 250, Heliopolis · Cairo, New Cairo City, 11757 Cairo, Egypt"
Booking,Safir Hotel Cairo,8.3,"US$175 - 4 nights, 1 adult","Midan El Missaha Square, Dokki, Cairo, Egypt"
Booking,Le Passage Cairo Hotel & Casino,7.5,"US$399 - 4 nights, 1 adult","Cairo International Airport Road, Heliopolis, 99999 Cairo, Egypt"
Booking,Four Seasons Cairo At The First Residence,8.9,"US$512 - 4 nights, 1 adult","35 Giza Street, Giza, 12311 Cairo, Egypt"
Booking,Steigenberger Pyramids Cairo,8.2,"US$217 - 4 nights, 1 adult","Alexandria Road, Pyramids, Giza, 45345 Cairo, Egypt"
Booking,Hilton Cairo Heliopolis Hotel,8.1,"US$416 - 4 nights, 1 adult","Uruba Street, Heliopolis, Heliopolis, Cairo, Egypt"
Booking,InterContinental Cairo Semiramis,7.5,"US$284 - 4 nights, 1 adult","Corniche El Nil, Garden City, 11511 Cairo, Egypt"
Booking,Grand Nile Tower,7.3,"US$200 - 4 nights, 1 adult","Corniche El Nile, Garden City, Cairo, Egypt"
Booking,Hilton Cairo World Trade Center Residences,7.1,"US$234 - 4 nights, 1 adult","1191 Courniche El Nile Street, Cairo, Egypt"
Booking,Sheraton Cairo Hotel & Casino,8.1,"US$315 - 4 nights, 1 adult","Galaa Square, Dokki, Cairo, Egypt"
